ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,y,new_merchant,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-01,7871.233618130522,7836.945699505332,7904.124368611139,7617.823359999999,-0.21103256547350902,2916.145688819039,-42.513920066677606,-2041.2249294330577,-578.7855486233074,Booking,7883.0,15.0,2025-06-25 15:03:25.407024,False,67.17866910580688,11.76638186947821,11.76638186947821,0.14926274095494368
2024-01-02,7895.541477603151,7860.156301269361,7928.431423690555,7630.65658271719,0.4566479635085933,3282.4101551762906,-52.15434424963844,-2347.914614180489,-617.9129498237116,Booking,7890.0,21.0,2025-06-25 15:03:25.407024,False,68.27512242119337,-5.541477603151179,5.541477603151179,-0.07023419015400734
2024-01-03,7911.679102834762,7878.668275620702,7945.291419532608,7643.489805434379,0.48016474356613204,3635.912566912383,-67.45267284353508,-2643.409305746811,-657.3414556652217,Booking,7907.0,21.0,2025-06-25 15:03:25.407024,False,66.62314391190648,-4.679102834761579,4.679102834761579,-0.05917671474341191
2024-01-04,7925.078493537972,7890.26431797678,7958.118797379102,7656.323028151571,0.08798923200059823,3973.2344680689775,-84.26682751994534,-2923.590962256507,-696.7092021381259,Booking,7933.0,21.0,2025-06-25 15:03:25.407024,False,67.85447940232189,7.9215064620284465,7.9215064620284465,0.09985511738344191
2024-01-05,7938.868058263493,7905.750221233599,7971.165273870185,7669.15625086876,-1.894168440452036,4291.055788740638,-98.78067476501276,-3185.0512903795893,-735.6178477608497,Booking,7938.0,17.0,2025-06-25 15:03:25.407024,False,65.41505263658564,-0.8680582634933671,0.8680582634933671,-0.010935478250105407
2024-01-06,7955.060596326126,7920.924122025791,7987.679500345519,7681.989473585952,-1.109041744661583,4586.2143913975515,-113.06260052040308,-3425.322061490197,-773.649564902115,Booking,7955.0,28.0,2025-06-25 15:03:25.407024,False,66.75537831972815,-0.06059632612596033,0.06059632612596033,-0.0007617388576487786
2024-01-07,7971.05225336186,7937.298437622144,8005.247606894229,7694.822696303142,2.1894408115127995,4855.762738625856,-128.39792565692738,-3642.940940758883,-810.3837559628406,Booking,7983.0,15.0,2025-06-25 15:03:25.407024,False,67.94916927208487,11.947746638140416,11.947746638140416,0.14966487082726312
2024-01-08,7981.640726248419,7949.070407239749,8015.576034237823,7707.655919020332,-0.21103256546769297,5097.020520357072,-140.066747074971,-3837.3449142040913,-845.4130192844555,Booking,7983.0,9.0,2025-06-25 15:03:25.407024,False,66.50562699807324,1.3592737515809858,1.3592737515809858,0.017027104491807415
2024-01-09,7998.6459155048415,7963.77798950417,8032.658850458634,7720.489141737523,0.4566479635085173,5307.622167650063,-142.950583986471,-4008.6135401589822,-878.3579177008002,Booking,7996.0,29.0,2025-06-25 15:03:25.407024,False,68.88086095446397,-2.6459155048414686,2.6459155048414686,-0.033090489055045885
2024-01-10,8016.427773770824,7984.886885728235,8050.31767454658,7733.322364454712,0.4801647435718681,5485.558290496561,-136.9423426405717,-4157.1105622633895,-908.8801410200608,Booking,8020.0,31.0,2025-06-25 15:03:25.407024,False,65.43078881834481,3.5722262291756124,3.5722262291756124,0.04454147417924704
2024-01-11,8032.0790801528765,7998.351483074835,8065.562316754887,7746.155587171903,0.08798923200289961,5629.210206667261,-123.59059100275765,-4283.090410438744,-936.6937014767891,Booking,8015.0,14.0,2025-06-25 15:03:25.407024,False,67.21083368005202,-17.079080152876486,17.079080152876486,-0.2130889601107484
2024-01-12,8044.594748009454,8010.855532343191,8078.354755880655,7758.988809889093,-1.8941684404565011,5737.376874525135,-101.9602055951581,-4386.342705190037,-961.5738571791209,Booking,8032.0,19.0,2025-06-25 15:03:25.407024,False,67.49922353746388,-12.594748009453724,12.594748009453724,-0.15680712163164495
2024-01-13,8060.100601204274,8029.643601333975,8092.547937464399,7771.822032606284,-1.1090417446720062,5809.293701997172,-70.60064829209294,-4465.941921792413,-983.3635215700042,Booking,8063.0,22.0,2025-06-25 15:03:25.407024,False,62.90433613042387,2.899398795725574,2.899398795725574,0.0359593054164154
2024-01-14,8078.536067028638,8043.092943511261,8111.520118385981,7784.655255323475,2.189440811511515,5844.642873293927,-30.822674003291507,-4520.1518429810785,-1001.976985415906,Booking,8075.0,10.0,2025-06-25 15:03:25.407024,False,68.42717487471964,-3.536067028638172,3.536067028638172,-0.04379030376022504
