ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,active_merchant,y,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-01,52.345358546510965,0.0,149.2799260641951,140.92009,-99.34608471014603,358.17311202890437,-10.470442194202276,-317.4295925583971,-19.501724019648098,Retail,184969.0,76.0,2025-06-23 10:43:37.123153,False,149.2799260641951,23.654641453489035,23.654641453489035,31.124528228275043
2024-01-02,190.01347037510416,87.31749280019801,289.879042118876,141.19851538033393,47.175717835985196,289.8434723142366,-38.601895065026916,-229.26128292914615,-20.3410571612785,Retail,185177.0,177.0,2025-06-23 10:43:37.123153,False,202.56154931867798,-13.013470375104163,13.013470375104163,-7.352243149776363
2024-01-03,178.47612125153375,74.95710952861535,282.2721925394001,141.4769407606679,31.433868260457178,222.3992522464262,-48.913726433617654,-145.6610237626469,-22.25918981975301,Retail,185371.0,200.0,2025-06-23 10:43:37.123153,False,207.31508301078478,21.523878748466245,21.523878748466245,10.761939374233123
2024-01-04,178.5901622550762,84.92305922879707,276.7177674523449,141.75536614100184,22.012058999951098,157.26164412429878,-46.40566292257317,-70.44945007298887,-25.583794014613442,Retail,185514.0,187.0,2025-06-23 10:43:37.123153,False,191.79470822354784,8.409837744923806,8.409837744923806,4.497239435788131
2024-01-05,178.15862047946183,82.33750549300233,273.805172413996,142.0337915213358,18.565650377644385,95.77971451584628,-41.70582866047169,-5.906824113892324,-30.60788316100057,Retail,185595.0,182.0,2025-06-23 10:43:37.123153,False,191.46766692099368,3.841379520538169,3.841379520538169,2.1106480882077854
2024-01-06,178.22476008746924,73.14341661865353,273.7504800367961,142.31221690166976,12.96280114140798,39.20058636804216,-26.138984545107434,47.46689972325846,-37.57875950180179,Retail,185700.0,148.0,2025-06-23 10:43:37.123153,False,200.60706341814256,-30.224760087469235,30.224760087469235,-20.42213519423597
2024-01-07,146.6109518427074,46.455766387280185,243.58990664488715,142.5906422820037,-32.804011905433285,-11.358222649671943,3.983085271248794,90.88734679728121,-46.687887952721034,Retail,185719.0,108.0,2025-06-23 10:43:37.123153,False,197.13414025760696,-38.61095184270741,38.61095184270741,-35.75088133584019
2024-01-08,90.29762727539715,0.0,189.3944013151473,142.86906766233764,-99.34608471034142,-54.93372827766234,32.84142866255381,126.92889720851599,-58.061953270006505,Retail,185774.0,93.0,2025-06-23 10:43:37.123153,False,189.3944013151473,2.702372724602853,2.702372724602853,2.905777123228874
2024-01-09,239.05614176986307,142.60407672957894,340.40812328366235,143.1474930426716,47.17571783604337,-90.7391526196571,52.289069879348915,158.93834774319853,-71.7553341117422,Retail,185877.0,203.0,2025-06-23 10:43:37.123153,False,197.8040465540834,-36.056141769863075,36.056141769863075,-17.761646192050776
2024-01-10,227.04720364665388,131.77937732639305,328.6056232619102,143.42591842300556,31.433868260586088,-118.18188623422873,67.79240175448473,190.3211005212359,-87.74419907842969,Retail,186104.0,196.0,2025-06-23 10:43:37.123153,False,196.82624593551714,-31.047203646653884,31.047203646653884,-15.840410023803003
